bar-25b4f2aa904527508f01e17831d166ef	Kansd di d Entfern vo da Erd zua Moond ausrechnen?
bar-bfaa9c44510c08cedd17e5a5769f82db	Des woaß i ned, i hob as no ned versucht.
bar-3f103f39d3abef1143947fc056780668	Da Meister im da Fliegengewicht focht wider an gstandnen Gegner.
bar-9ead9a5b0b1bc3afe885d41185fc917a	Moa wui oiwei des habn, wos moa ned kriegn ko.
bar-32c83b344b49d19294d2196579c94de2	I hear gern Musi, oba no liaba moch i wos.
bar-5ab7dbb176f39e0667e73dbcb6d7c99b	I ko da fei ned gnua danksa fia deina Hif.
bar-f5d6f1cc952005473cf795dc174842f3	Deifi zua Griaß, Buam Oberst, mia wui beim Himmelfahrtsausflug mitmacha!
bar-aa32d03e7e4b337fd8e412808dfce3a7	D'Tom is beim Start da letztn Wocha sei Auto gfladert.
bar-34bed38839eadf8c29ada4a77f3aa9e7	Wos seng zua mocha rent, rent seng, fei zua mocha.
bar-ce5d0a0fb5a7e3da639da559e9a15ee3	Des is ganz des, wos d'Tom wia i gfundn ham.
bar-fa0a3849e335c610ede789e878e38858	Aiso verführerisch dei Offerte a is, i muaß s ablehna.
bar-fcb562a3fcd7317e27f862b7b7b33026	Vui Leit loss ma durcha de Miahl vom Geriht verschwinda.
bar-06b43c941b1076eee07c418a0f7c695b	I hob da ois gsogt, wos i üba Daitschland woaß.
bar-37c9e0bcc2864b16190fe2b0640c9fcf	Wia de Oide ei am Stoi kema, is ois fei.
bar-39ec753c315152d43f4fc43f1e7ad942	Ned oa Preiß sauft grod Bia, koana amoi jedar Boar.
bar-bb245700bd70541fbb7381ba4f1a6d62	Ea opfa sei eigns Lem, fiar des Dirndl zua rettn.
bar-8720264b3ada3ce41f214ab11caf61c4	D'Tom wia d'Maria san beliebter wia d'Bill wia d'Hillary Clinton.
bar-2d79d6aba9c5d23e94338fc25575c7ba	Seidn de beim Friah aufgstandn is, gspiad de seng schwoindlig.
bar-288cc3b95f38c52a2415083584151af8	D'Tom is mitn seim vierundachtzg Jahr scho a oidn Mo.
bar-8f9ba14b381fd0ecc26da1615f58339d	Ea is ois voa grod kurza Zeitl naach Coventri ziang.
bar-533f3747580e0aef871e744ee0179fe0	Vagiß ned dein Doi bei am Grund dei heitzigen Unglick!
bar-5e68ffa95bfcf96d88964fecc0b0ff08	D'Tom mocht wia, wenn wia a mi ned segn dat.
bar-43c9b0eb4bb9df2d4654848debb9de5a	Sog Se bittschee d'Tom nix davo, wos mia gmocht ham!
bar-78551c932a3b4855805416d948e68be5	I kann oana, dea se fia dei Gschäft intressiern dat.
bar-aac1d30918bc8cbc675e5fea91b90eaa	Ohna Liab zua se selba is a d Nächstenliab unmögli.
bar-4a3cb4b74536e937027d4cf74814a1ef	Woherd kimmt s, dassd mi koana vasteht undd oana mog?
bar-9fd8a7c16b2d5f8fc9334210efe46e7d	Wennst Du ned gschert bist, mochst Du noamal an Fehla.
bar-18e89938794a95e1f9e346f1741422be	D'Tom wui gern wissn, wia vui Sackl d'Maria mitnemma gmoant.
bar-f4fe3e71ea33903eb22d1cf0914fcb53	Ned wia wia de im am Omnibus, n a glenkt.
bar-0e84cd27a592eb62822b353e7d957836	Des is a griabte Boarische fia ana griabigen griabiges Schaffa.
bar-772f047ae2046410460840d7e3c57dba	I hoff, dassd d'Tom nix mochd, wos a ned sollst.
bar-5c93dd1f703506ae0b63de60368a7258	Ea hod mi ned gfrogt, obba a des mocha derf.
bar-41ccb5269b9b80271481a461337620c6	Glückseligkeit gschmeidig durcha Höh ausse, wos eam bei Läng feid.
bar-0eb082b3025bce2ea99ba2031013f7b6	I ko ma ned eibilda, dassd koana des ghert hod.
bar-6d27b84b9b18d98137719a587313e323	Drum ko a si sowos bleed aufführn, wia a mog.
bar-8a653443a4aae1d16b4aa198d71e92f1	I dat mei, oba des is ois, wos i hob.
bar-09bf1ddc2bdc9c5d83023cc0e9904b88	Se blinzlte ma hi, des grod scheinbar "I mog di".
bar-a426db3ee31c2ae0b1f69c9da34c816c	D'Tom ko d'Mary ned, oba a dat de fei segn.
bar-987947f1f043e4cb92a296b1616b0c85	I dat gfrein, wennst ma des Lob mia mocha könntst.
